Disease,Symptom_precaution_0,Symptom_precaution_1,Symptom_precaution_2,Symptom_precaution_3
AIDS,avoid open cuts,wear ppe if possible,abstinence and never sharing needles,consult doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Alcoholic hepatitis,stop alcohol consumption or drink alcohol in moderation,Protect yourself from hepatitis C,Check before mixing medications and alcohol,consult doctor
Allergy,apply calamine,cover area with bandage,Avoid your allergens.,use ice to compress itching
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Bronchial Asthma,switch to loose cloth,take deep breaths,get away from the trigger,seek help
Cervical spondylosis,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor
Chicken pox,use neem in bathing,consume neem leaves,take the vaccine,avoid public places
Chronic cholestasis,cold baths,anti itch medicine,"eat healthy( avoid sugars and highly refined foods, such as white bread and corn syrup,processed meats,full fat dairy products.)",consult a doctor
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Covid,cover mouth,social distancing,wear mask,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Diabetes ,have balanced diet,exercise(Lose extra weight),"Eat healthy plant foods(Plant foods provide vitamins, minerals and carbohydrates in your diet.)",consult a doctor
Dimorphic hemorrhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,consult a doctor
Fungal infection,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Gastroenteritis,stop eating solid food for while,try taking small sips of water,"Hands should always be washed after personal toileting, before preparing or eating food, and after removing gloves or other personal protective equipment (PPE).",ease back into eating
Heart attack,call an ambulance,chew aspirin,keep calm,"Stop smoking,Be physically active every day,Reduce stress"
Hepatitis A,Consult nearest hospital for medication,wash hands through,avoid fatty spicy food,drink bottled water rather than local water
Hepatitis B,consult nearest hospital for medication,vaccination and eat healthy,use protections,"Don't use illegal drugs,Be cautious about body piercing and tattooing."
Hepatitis C,Consult nearest hospital for medication,vaccination and eat healthy,use protections,"Don't use illegal drugs,Be cautious about body piercing and tattooing."
Hepatitis D,consult doctor for medication,Don't share needles to take drugs.,use protections,Don't use an infected person's personal items
Hepatitis E,"stop alcohol consumption, avoid Foods heavily laced with salt.",good sanitation and the availability of clean drinking water,rest,consult doctor for medication
Hypertension ,"Healthy died,Lose weight.",salt baths,"reduce stress,Stop smoking.",get proper sleep
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fibre food,medication
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Migraine,"Don't skip meals,Eat at about the same time every day.","reduce stress,Avoid foods that trigger migraines",use polaroid glasses in sun,consult doctor
Osteoarthritis,acetaminophen,consult nearest hospital ,salt baths,"Control your blood sugar , Keep a healthy body weight"
Paralysis (brain hemorrhage),Limit alcohol and stop smoking,"eat healthy(Control your blood pressure,Lowering your cholesterol level)",exercise(Lose excess weight.),consult doctor
Paroxysmal Positional Vertigo,lie down,avoid sudden changes in the body,avoid abrupt head movement,relax
Peptic ulcer disease,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Pneumonia,consult doctor for medication,Get enough sleep.,"Quit smoking, take rest",Get enough sleep.
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
Tuberculosis,cover mouth,consult doctor for Airborne Precautions,medication,rest
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use ointments,use vein compression,don't stand still for long
